timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707148229506,21141,HTTP Request,200,OK,Thread Group 1-303,text,true,,1993,118,690,690,https://www.daraz.com.bd/,21141,0,21082
1707148250590,56,HTTP Request,200,OK,Thread Group 1-1012,text,true,,1957,118,690,690,https://www.daraz.com.bd/,56,0,0
1707148229681,20967,HTTP Request,200,OK,Thread Group 1-1133,text,true,,1933,118,689,689,https://www.daraz.com.bd/,20967,0,20910
1707148229720,20929,HTTP Request,200,OK,Thread Group 1-1311,text,true,,1981,118,689,689,https://www.daraz.com.bd/,20929,0,20872
1707148250628,57,HTTP Request,200,OK,Thread Group 1-1286,text,true,,1933,118,689,689,https://www.daraz.com.bd/,57,0,0
1707148250628,58,HTTP Request,200,OK,Thread Group 1-1821,text,true,,1969,118,688,688,https://www.daraz.com.bd/,58,0,0
1707148250638,54,HTTP Request,200,OK,Thread Group 1-1420,text,true,,1975,118,687,687,https://www.daraz.com.bd/,54,0,0
1707148250638,54,HTTP Request,200,OK,Thread Group 1-2940,text,true,,1945,118,687,687,https://www.daraz.com.bd/,54,0,0
1707148250638,54,HTTP Request,200,OK,Thread Group 1-2202,text,true,,1951,118,687,687,https://www.daraz.com.bd/,54,0,0
1707148250638,55,HTTP Request,200,OK,Thread Group 1-397,text,true,,1981,118,684,684,https://www.daraz.com.bd/,55,0,0
1707148250638,55,HTTP Request,200,OK,Thread Group 1-1105,text,true,,1957,118,684,684,https://www.daraz.com.bd/,55,0,0
1707148229705,20992,HTTP Request,200,OK,Thread Group 1-1240,text,true,,1951,118,682,682,https://www.daraz.com.bd/,20992,0,11809
1707148250642,57,HTTP Request,200,OK,Thread Group 1-2125,text,true,,1951,118,682,682,https://www.daraz.com.bd/,57,0,0
1707148250642,58,HTTP Request,200,OK,Thread Group 1-1390,text,true,,1975,118,681,681,https://www.daraz.com.bd/,58,0,0
1707148250646,56,HTTP Request,200,OK,Thread Group 1-303,text,true,,1945,118,680,680,https://www.daraz.com.bd/,56,0,0
1707148250647,56,HTTP Request,200,OK,Thread Group 1-1133,text,true,,1963,118,679,679,https://www.daraz.com.bd/,56,0,0
1707148250648,58,HTTP Request,200,OK,Thread Group 1-1311,text,true,,1981,118,678,678,https://www.daraz.com.bd/,58,0,0
1707148250697,54,HTTP Request,200,OK,Thread Group 1-1240,text,true,,1927,118,677,677,https://www.daraz.com.bd/,53,0,0
1707148229858,20933,HTTP Request,200,OK,Thread Group 1-2094,text,true,,1939,118,676,676,https://www.daraz.com.bd/,20840,0,11972
1707148231755,19035,HTTP Request,200,OK,Thread Group 1-581,text,true,,1969,118,676,676,https://www.daraz.com.bd/,18941,0,0
1707148230594,20220,HTTP Request,200,OK,Thread Group 1-2530,text,true,,1945,118,675,675,https://www.daraz.com.bd/,20220,0,20161
1707148230618,20195,HTTP Request,200,OK,Thread Group 1-2957,text,true,,1945,118,675,675,https://www.daraz.com.bd/,20195,0,20136
1707148229636,21179,HTTP Request,200,OK,Thread Group 1-941,text,true,,1963,118,675,675,https://www.daraz.com.bd/,21179,0,21121
1707148230617,20208,HTTP Request,200,OK,Thread Group 1-2936,text,true,,1975,118,675,675,https://www.daraz.com.bd/,20208,0,10524
1707148250790,56,HTTP Request,200,OK,Thread Group 1-2094,text,true,,1915,118,675,675,https://www.daraz.com.bd/,56,0,0
1707148250825,57,HTTP Request,200,OK,Thread Group 1-2957,text,true,,1981,118,674,674,https://www.daraz.com.bd/,57,0,0
1707148250825,57,HTTP Request,200,OK,Thread Group 1-2530,text,true,,1963,118,673,673,https://www.daraz.com.bd/,57,0,0
1707148250825,58,HTTP Request,200,OK,Thread Group 1-941,text,true,,1957,118,672,672,https://www.daraz.com.bd/,58,0,0
1707148250826,57,HTTP Request,200,OK,Thread Group 1-2936,text,true,,1999,118,671,671,https://www.daraz.com.bd/,57,0,0
1707148230582,20317,HTTP Request,200,OK,Thread Group 1-2324,text,true,,1981,118,670,670,https://www.daraz.com.bd/,20317,0,20264
1707148230659,20246,HTTP Request,200,OK,Thread Group 1-2291,text,true,,1957,118,670,670,https://www.daraz.com.bd/,20246,0,20190
1707148230575,20330,HTTP Request,200,OK,Thread Group 1-2200,text,true,,1981,118,670,670,https://www.daraz.com.bd/,20330,0,20274
1707148229525,21383,HTTP Request,200,OK,Thread Group 1-428,text,true,,1975,118,670,670,https://www.daraz.com.bd/,21383,0,21327
1707148229579,21331,HTTP Request,200,OK,Thread Group 1-664,text,true,,1957,118,670,670,https://www.daraz.com.bd/,21331,0,21275
1707148229739,21174,HTTP Request,200,OK,Thread Group 1-1467,text,true,,1981,118,670,670,https://www.daraz.com.bd/,21174,0,21117
1707148229594,21330,HTTP Request,200,OK,Thread Group 1-731,text,true,,1981,118,670,670,https://www.daraz.com.bd/,21330,0,21272
1707148229620,21304,HTTP Request,200,OK,Thread Group 1-843,text,true,,1957,118,670,670,https://www.daraz.com.bd/,21304,0,21246
1707148229753,21171,HTTP Request,200,OK,Thread Group 1-1602,text,true,,1945,118,670,670,https://www.daraz.com.bd/,21171,0,21114
1707148229673,21254,HTTP Request,200,OK,Thread Group 1-2670,text,true,,1987,118,670,670,https://www.daraz.com.bd/,21254,0,21197
1707148229733,21194,HTTP Request,200,OK,Thread Group 1-1421,text,true,,1969,118,670,670,https://www.daraz.com.bd/,21194,0,21137
